iter	RMSE
0	1199845.921
1	1168590.058
2	1143889.519
3	1109314.999
4	1080073.326
5	1062367.565
6	1035645.673
7	1009647.394
8	986554.0016
9	959293.1893
10	932525.1604
11	909524.8182
12	881973.3329
13	863406.4451
14	843408.0767
15	823852.9078
16	803179.5251
17	775286.5088
18	755189.4459
19	730685.1711
20	709974.0616
21	689968.7897
22	669304.8356
23	649067.2086
24	624996.4988
25	606778.8613
26	593255.4187
27	574124.3767
28	560143.4747
29	546451.082
30	532913.4928
31	519382.0459
32	505334.0526
33	491751.312
34	478384.8263
35	465758.1475
36	455607.915
37	445305.5923
38	434280.9334
39	424536.9141
40	412860.3827
41	404460.0102
42	391679.103
43	383288.7916
44	374110.5658
45	361274.3183
46	352587.7984
47	343938.2841
48	335676.0441
49	327626.5564
50	319734.7528
51	311722.9163
52	304661.915
53	297546.3632
54	291026.1189
55	284233.2264
56	277654.0707
57	270787.3652
58	264312.2432
59	257837.2367
60	251710.2214
61	245830.8692
62	240088.7471
63	234566.502
64	229507.6285
65	224346.3613
66	219147.4286
67	214098.3912
68	209625.2883
69	204866.4648
70	199682.2627
71	194674.5098
72	189836.4555
73	185704.2801
74	181141.166
75	176732.0472
76	173026.4055
77	168878.713
78	164953.6678
79	161166.1882
80	157370.4907
81	153947.7773
82	150629.831
83	147513.9549
84	144225.0177
85	141129.3641
86	138038.9105
87	134896.4101
88	132125.8469
89	129384.3283
90	126500.9839
91	123970.1381
92	121255.6312
93	118873.9079
94	116568.7237
95	112187.1278
96	109804.4178
97	105640.6236
98	101737.3494
99	99782.45561
100	96051.17405
101	92592.31882
102	89353.18647
103	86257.69032
104	84459.42794
105	81558.03723
106	78786.03599
107	76138.13334
108	74561.62571
109	72080.26776
110	70333.61202
111	68578.71711
112	67065.7142
113	65455.21878
114	63615.98208
115	62320.15176
116	60585.51464
117	59143.01327
118	57736.01085
119	56470.946
120	55137.64913
121	53848.71085
122	52577.8105
123	51361.69623
124	50085.25787
125	48848.55218
126	47709.74241
127	46542.53589
128	45411.45801
129	44365.42172
130	43367.1691
131	42325.07416
132	41380.65484
133	40463.53494
134	39366.85642
135	38498.48659
136	37465.01663
137	36470.74243
138	35646.01656
139	34712.16448
140	34036.46532
141	33156.32218
142	32521.28576
143	31691.66891
144	31094.90216
145	30312.25398
146	29525.86579
147	28769.46147
148	28237.54068
149	27524.22271
150	27036.66437
151	26363.19606
152	25904.06435
153	25177.99008
154	24561.87213
155	24150.88151
156	23485.13114
157	23087.30358
158	22533.22577
159	22158.73178
160	21648.81673
161	21094.40744
162	20723.27855
163	20319.59134
164	19703.41324
165	19386.93413
166	18785.88769
167	18489.26095
168	18049.74776
169	17627.71592
170	17306.4872
171	16704.24763
172	16367.7952
173	16082.14369
174	15796.76536
175	15298.15426
176	15036.78362
177	14517.67558
178	14261.26008
179	13816.10824
180	13602.04779
181	13395.79816
182	12935.32422
183	12733.98664
184	12548.59372
185	12121.19592
186	11946.53547
187	11778.30282
188	11362.72805
189	11002.03336
190	10705.45574
191	10419.52472
192	10274.1212
193	10002.32298
194	9648.741333
195	9385.311203
196	9135.303695
197	8948.630361
198	8714.880558
199	8586.513439
200	8364.545591
201	8197.958094
202	7992.756543
203	7840.732636
204	7646.114706
205	7391.209085
206	7294.352366
207	7158.606147
208	7071.1928
209	6895.834688
210	6726.485055
211	6562.655775
212	6404.169154
